Site,Reference,STORD,ALT,DFS,LAT,LONG,CATA,ALK,BNKW,BNKH,COND,PRIF,RDEP,RVEL,REBE,REBO,RECO,REPE,REGR,RBED,RBOU,RCOB,RPEB,RGRA,SUBS,VD,PRRR
350-D0,0,4,795,26,3559,14920,154,55,25,1.5,111.1,20,9.7,0.76,0,10,25,15,35,0,5.0,40,25,20,19,15,11
435-D0,0,5,680,40.5,3527,14842,221,34,20,3,58.2,10,25,1.14,0,5,50,20,5,0,5.0,60,20,5,19,15,14
731-D0,0,5,720,72,3531,14918,92,40,14,1.5,82.1,30,11.7,0.46,60,10,8,2,1,60,10.0,20,2,2,14,19,14
732-D0,0,5,1200,48,3547,14867,483,3,40,2,20.8,10,48.66,0.92,0,0,5,15,40,0,0.0,0,25,35,8,9,6
733-D0,0,5,1055,76,3550,14848,780,11,15,1,28.5,20,23,1.05,2.5,2.5,25,20,20,0,1.3,42.5,35,12,13,15,11
734-D0,0,6,780,140,3610,14902,1300,12,35,1,32.7,10,30.83,0.75,0,10,20,30,30,0,10.0,30,30,20,15,17,13
47-D1,0,6,510,210,3525,14900,4200,96,80,1,0.184,20,13,0.43,25,25,20,20,5,0,40.0,30,20,5,18,16,12
61-D1,0,2,630,4,3527,14907,8,49,3,0,0.543,10,11,0.22,10,30,30,10,10,5,20.0,30,20,15,16,15,13
119-D1,0,4,580,22,3557,14905,112,30,18,1,312,60,13.33,0.64,0,0,10,30,20,0,0.0,10,30,30,14,16,11
122-D1,0,8,380,289,3506,14855,8866,50,60,3.5,168.6,70,32.33,0.92,40,10,20,10,10,30,10.0,20,20,10,11,20,15
133-D1,0,5,680,41,3525,14843,304,36,15,0.5,56.1,60,44.7,1.48,5,5,50,20,10,2,0.0,60,30,3,18,15,13
136-D1,0,5,680,48,3523,14844,394,40,15,1.2,55.9,20,51,1.21,0,50,35,5,5,20,35.0,20,10,10,19,15,12
148-D1,0,5,720,47,3559,14911,720,70,30,1.5,196,30,10.33,0.42,0,0,10,20,20,0,0.0,10,40,20,10,10,5
151-D1,0,6,700,158,3602,14908,3448,22,60,2,56.6,20,21,1.33,0,10,50,20,10,0,10.0,60,10,10,20,15,12
152-D1,0,6,700,148,3605,14908,1851,18,35,1.5,44.6,30,25,1.10,0,5,50,20,10,0,10.0,50,20,10,20,17,13
286-D1,0,5,590,89,3525,14916,106,38,8,2,85.2,10,12.7,0.61,5,3,75,5,5,5,5.0,60,5,15,12,12,7
290-D1,0,4,900,31,3532,14850,199,10,20,2,29.5,40,8.7,0.45,0,10,60,20,10,0,15.0,55,20,10,18,14,11
315-D1,0,4,670,15.6,3526,14844,44,24,5,1,37.6,20,15.3,0.51,5,5,35,35,10,0,0.0,40,40,10,15,10,10
316-D1,0,4,680,17.9,3527,14843,65,14,7,1.4,38.7,70,15.7,0.87,10,20,30,10,10,5,30.0,40,10,5,19,10,7
345-D1,0,4,920,17.2,3545,14923,40,20,7,1.5,44.1,20,22.5,0.61,70,5,5,5,5,70,0.0,10,10,10,8,16,10
350-D1,0,4,795,26,3559,14920,154,55,25,1.5,111.1,20,9.7,0.76,0,10,25,15,35,0,5.0,40,25,20,19,15,11
435-D1,0,5,680,40.5,3527,14842,221,34,20,3,58.2,10,25,1.14,0,5,50,20,5,0,5.0,60,20,5,19,15,14
731-D1,0,5,720,72,3531,14918,92,40,14,1.5,82.1,30,11.7,0.46,60,10,8,2,1,60,10.0,20,2,2,14,19,14
732-D1,0,5,1200,48,3547,14867,483,3,40,2,20.8,10,48.66,0.92,0,0,5,15,40,0,0.0,0,25,35,8,9,6
733-D1,0,5,1055,76,3550,14848,780,11,15,1,28.5,20,23,1.05,2.5,2.5,25,20,20,0,1.3,42.5,35,12,13,15,11
734-D1,0,6,780,140,3610,14902,1300,12,35,1,32.7,10,30.83,0.75,0,10,20,30,30,0,10.0,30,30,20,15,17,13
47-D2,0,6,510,210,3525,14900,4200,96,80,1,0.184,20,13,0.43,25,25,20,20,5,0,40.0,30,20,5,18,16,12
61-D2,0,2,630,4,3527,14907,8,49,3,0,0.543,10,11,0.22,10,30,30,10,10,5,20.0,30,20,15,16,15,13
119-D2,0,4,580,22,3557,14905,112,30,18,1,312,60,13.33,0.64,0,0,10,30,20,0,0.0,10,30,30,14,16,11
122-D2,0,8,380,289,3506,14855,8866,50,60,3.5,168.6,70,32.33,0.92,40,10,20,10,10,30,10.0,20,20,10,11,20,15
133-D2,0,5,680,41,3525,14843,304,36,15,0.5,56.1,60,44.7,1.48,5,5,50,20,10,2,0.0,60,30,3,18,15,13
136-D2,0,5,680,48,3523,14844,394,40,15,1.2,55.9,20,51,1.21,0,50,35,5,5,20,35.0,20,10,10,19,15,12
148-D2,0,5,720,47,3559,14911,720,70,30,1.5,196,30,10.33,0.42,0,0,10,20,20,0,0.0,10,40,20,10,10,5
151-D2,0,6,700,158,3602,14908,3448,22,60,2,56.6,20,21,1.33,0,10,50,20,10,0,10.0,60,10,10,20,15,12
152-D2,0,6,700,148,3605,14908,1851,18,35,1.5,44.6,30,25,1.10,0,5,50,20,10,0,10.0,50,20,10,20,17,13
286-D2,0,5,590,89,3525,14916,106,38,8,2,85.2,10,12.7,0.61,5,3,75,5,5,5,5.0,60,5,15,12,12,7
290-D2,0,4,900,31,3532,14850,199,10,20,2,29.5,40,8.7,0.45,0,10,60,20,10,0,15.0,55,20,10,18,14,11
315-D2,0,4,670,15.6,3526,14844,44,24,5,1,37.6,20,15.3,0.51,5,5,35,35,10,0,0.0,40,40,10,15,10,10
316-D2,0,4,680,17.9,3527,14843,65,14,7,1.4,38.7,70,15.7,0.87,10,20,30,10,10,5,30.0,40,10,5,19,10,7
345-D2,0,4,920,17.2,3545,14923,40,20,7,1.5,44.1,20,22.5,0.61,70,5,5,5,5,70,0.0,10,10,10,8,16,10
350-D2,0,4,795,26,3559,14920,154,55,25,1.5,111.1,20,9.7,0.76,0,10,25,15,35,0,5.0,40,25,20,19,15,11
435-D2,0,5,680,40.5,3527,14842,221,34,20,3,58.2,10,25,1.14,0,5,50,20,5,0,5.0,60,20,5,19,15,14
731-D2,0,5,720,72,3531,14918,92,40,14,1.5,82.1,30,11.7,0.46,60,10,8,2,1,60,10.0,20,2,2,14,19,14
732-D2,0,5,1200,48,3547,14867,483,3,40,2,20.8,10,48.66,0.92,0,0,5,15,40,0,0.0,0,25,35,8,9,6
733-D2,0,5,1055,76,3550,14848,780,11,15,1,28.5,20,23,1.05,2.5,2.5,25,20,20,0,1.3,42.5,35,12,13,15,11
734-D2,0,6,780,140,3610,14902,1300,12,35,1,32.7,10,30.83,0.75,0,10,20,30,30,0,10.0,30,30,20,15,17,13
47-D3,0,6,510,210,3525,14900,4200,96,80,1,0.184,20,13,0.43,25,25,20,20,5,0,40.0,30,20,5,18,16,12
61-D3,0,2,630,4,3527,14907,8,49,3,0,0.543,10,11,0.22,10,30,30,10,10,5,20.0,30,20,15,16,15,13
119-D3,0,4,580,22,3557,14905,112,30,18,1,312,60,13.33,0.64,0,0,10,30,20,0,0.0,10,30,30,14,16,11
122-D3,0,8,380,289,3506,14855,8866,50,60,3.5,168.6,70,32.33,0.92,40,10,20,10,10,30,10.0,20,20,10,11,20,15
133-D3,0,5,680,41,3525,14843,304,36,15,0.5,56.1,60,44.7,1.48,5,5,50,20,10,2,0.0,60,30,3,18,15,13
136-D3,0,5,680,48,3523,14844,394,40,15,1.2,55.9,20,51,1.21,0,50,35,5,5,20,35.0,20,10,10,19,15,12
148-D3,0,5,720,47,3559,14911,720,70,30,1.5,196,30,10.33,0.42,0,0,10,20,20,0,0.0,10,40,20,10,10,5
151-D3,0,6,700,158,3602,14908,3448,22,60,2,56.6,20,21,1.33,0,10,50,20,10,0,10.0,60,10,10,20,15,12
152-D3,0,6,700,148,3605,14908,1851,18,35,1.5,44.6,30,25,1.10,0,5,50,20,10,0,10.0,50,20,10,20,17,13
286-D3,0,5,590,89,3525,14916,106,38,8,2,85.2,10,12.7,0.61,5,3,75,5,5,5,5.0,60,5,15,12,12,7
290-D3,0,4,900,31,3532,14850,199,10,20,2,29.5,40,8.7,0.45,0,10,60,20,10,0,15.0,55,20,10,18,14,11
315-D3,0,4,670,15.6,3526,14844,44,24,5,1,37.6,20,15.3,0.51,5,5,35,35,10,0,0.0,40,40,10,15,10,10
316-D3,0,4,680,17.9,3527,14843,65,14,7,1.4,38.7,70,15.7,0.87,10,20,30,10,10,5,30.0,40,10,5,19,10,7
345-D3,0,4,920,17.2,3545,14923,40,20,7,1.5,44.1,20,22.5,0.61,70,5,5,5,5,70,0.0,10,10,10,8,16,10
350-D3,0,4,795,26,3559,14920,154,55,25,1.5,111.1,20,9.7,0.76,0,10,25,15,35,0,5.0,40,25,20,19,15,11
435-D3,0,5,680,40.5,3527,14842,221,34,20,3,58.2,10,25,1.14,0,5,50,20,5,0,5.0,60,20,5,19,15,14
731-D3,0,5,720,72,3531,14918,92,40,14,1.5,82.1,30,11.7,0.46,60,10,8,2,1,60,10.0,20,2,2,14,19,14
732-D3,0,5,1200,48,3547,14867,483,3,40,2,20.8,10,48.66,0.92,0,0,5,15,40,0,0.0,0,25,35,8,9,6
733-D3,0,5,1055,76,3550,14848,780,11,15,1,28.5,20,23,1.05,2.5,2.5,25,20,20,0,1.3,42.5,35,12,13,15,11
734-D3,0,6,780,140,3610,14902,1300,12,35,1,32.7,10,30.83,0.75,0,10,20,30,30,0,10.0,30,30,20,15,17,13
